0 
0 
42 
97 
152 
207 
262 
317 
588 23 
495 78 
400 133 
381 187 
360 242 
279 297 
296 277 
276 294 
293 274 
273 292 
278 296 
270 289 
300 281 
184 197 177 
181 194 199 
177 190 195 
199 186 192 
195 182 188 
192 179 185 
188 175 180 
185 197 177 
181 193 198 
178 190 195 
199 186 191 
196 183 188 
193 180 184 
189 176 181 
185 198 177 
181 194 199 
178 191 195 
199 187 192 
196 184 189 
192 180 185 
189 176 182 
185 197 178 
182 194 200 
178 190 196 
200 187 192 
196 183 188 
193 180 185 
189 176 181 
186 198 178 
182 194 199 
179 191 196 
200 187 192 
196 184 189 
193 181 185 
189 177 182 
186 199 179 
182 195 200 
179 192 197 
200 187 193 
197 184 190 
193 180 186 
190 177 181 
186 198 178 
183 195 200 
179 191 196 
176 188 193 
197 184 189 
194 181 186 
191 178 182 
186 199 179 
183 196 200 
179 192 197 
176 189 194 
197 185 190 
194 182 187 
190 177 183 
187 199 180 
184 196 176 
180 192 198 
177 189 193 
198 185 190 
195 182 187 
191 178 183 
188 200 180 
184 196 176 
181 193 198 
176 189 194 
198 186 191 
194 182 187 
191 179 184 
187 200 180 
184 197 177 
180 193 198 
177 189 195 
198 185 191 
195 182 188 
191 178 183 
188 200 180 
185 197 177 
181 193 198 
178 190 195 
199 186 191 
196 183 188 
193 180 184 
188 176 181 
185 198 178 
181 194 199 
178 191 196 
199 187 192 
196 184 189 
193 181 185 
189 176 182 
186 198 178 
182 194 200 
179 191 196 
200 187 192 
197 184 189 
193 180 185 
190 177 182 
186 198 178 
183 195 200 
178 192 196 
200 188 193 
197 185 189 
193 182 186 
190 178 182 
186 200 179 
183 196 176 
180 193 197 
176 188 194 
198 185 190 
194 181 187 
191 178 183 
187 200 180 
184 196 176 
180 193 198 
177 189 194 
198 186 190 
194 182 187 
191 179 183 
187 200 180 
184 196 176 
180 192 198 
177 189 194 
198 186 191 
195 182 187 
191 179 184 
188 200 181 
184 197 177 
181 193 199 
178 190 195 
199 186 192 
196 183 188 
192 179 185 
189 176 180 
184 197 177 
181 194 198 
177 191 195 
199 186 191 
195 183 188 
192 179 184 
188 176 181 
185 197 177 
181 194 199 
178 190 195 
199 187 192 
196 183 188 
192 180 185 
189 176 181 
185 198 178 
182 194 199 
178 191 196 
200 187 191 
195 184 188 
192 180 185 
189 176 181 
185 197 178 
182 194 199 
178 190 196 
200 187 192 
196 184 189 
193 180 185 
189 176 183 
186 198 178 
182 194 200 
179 191 196 
200 187 193 
197 184 189 
193 181 186 
190 177 181 
185 199 178 
182 195 199 
178 192 196 
200 187 192 
196 184 189 
193 180 186 
189 177 182 
186 198 179 
183 195 200 
179 191 197 
201 188 193 
197 184 190 
194 181 186 
190 178 183 
187 199 179 
183 196 201 
180 192 197 
175 189 193 
197 185 189 
193 182 186 
190 177 183 
186 199 179 
183 195 176 
180 192 197 
176 188 194 
198 185 190 
194 182 187 
191 178 183 
187 200 180 
184 196 176 
180 193 198 
177 189 194 
198 186 191 
195 182 187 
191 179 183 
187 200 179 
183 197 176 
180 193 197 
176 189 194 
198 185 190 
194 182 187 
191 178 183 
187 200 180 
184 196 176 
180 193 198 
177 189 195 
199 186 191 
195 182 188 
192 179 184 
188 201 181 
185 197 177 
181 194 199 
177 190 195 
199 187 191 
195 183 187 
191 179 184 
188 175 180 
184 197 177 
181 193 198 
177 190 195 
199 186 191 
195 183 188 
192 179 185 
189 176 181 
185 198 178 
182 194 199 
178 191 196 
200 187 193 
197 184 189 
193 181 185 
189 177 182 
186 199 178 
182 195 200 
179 191 196 
175 188 193 
197 184 190 
193 181 186 
190 177 183 
187 199 179 
183 196 176 
180 192 197 
177 189 194 
198 185 191 
195 182 187 
191 179 184 
188 200 180 
184 197 176 
180 193 198 
177 190 194 
198 186 191 
195 182 187 
191 179 184 
188 175 181 
185 197 177 
181 193 199 
178 190 195 
199 187 192 
196 183 189 
193 180 185 
189 177 182 
186 198 178 
183 195 200 
179 191 197 
201 188 193 
197 184 189 
193 181 185 
189 178 182 
186 199 179 
183 195 200 
179 191 197 
176 188 193 
197 185 190 
194 181 187 
191 178 183 
187 199 180 
184 196 176 
180 193 198 
177 189 195 
199 186 191 
195 183 188 
192 179 184 
188 176 180 
184 198 177 
181 194 198 
178 191 195 
199 186 192 
196 183 188 
192 180 185 
189 176 182 
186 198 178 
182 195 200 
179 191 196 
201 188 193 
197 184 190 
194 181 186 
190 178 183 
187 199 180 
184 196 176 
179 193 198 
176 189 193 
197 186 190 
194 182 187 
191 178 183 
187 200 180 
184 196 177 
181 193 198 
177 190 195 
199 186 192 
196 183 188 
192 180 185 
189 176 181 
186 198 178 
182 194 200 
179 191 196 
200 188 193 
197 184 190 
193 181 185 
189 178 182 
186 199 178 
183 196 200 
179 191 196 
